measurement value,blue,green,red,NIR,SWIR1,log(blue),log(green),log(red),log(NIR),log(SWIR1),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/blue,1/green,1/red,1/NIR,1/SWIR1,blue/green,blue/red,blue/NIR,blue/SWIR1,green/blue,green/red,green/NIR,green/SWIR1,red/blue,red/green,red/NIR,red/SWIR1,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(red,NIR)","ND(red,SWIR1)","ND(NIR,SWIR1)"
82.5,0.128295,0.180655,0.1507625,0.06433,0.0094125,-2.053422979,-1.711166144,-1.892049528,-2.743729194,-4.665716686,-0.486991726,-0.584396789,-0.528527391,-0.364467456,-0.214329345,7.79453603,5.535412803,6.632949175,15.54484688,106.2416999,0.710165786,0.850974214,1.994326131,13.63027888,1.408121907,1.198275433,2.808254314,19.19309429,1.175123738,0.834532673,2.343579978,16.01726428,0.501422503,0.356093106,0.42669762,6.834528552,0.07336607,0.052102073,0.062432634,0.146315871,-0.169477262,-0.080512081,0.332070084,0.863297206,0.090195901,0.474824989,0.900956239,0.401838744,0.882472296,0.744719802
66.7,0.1257375,0.184065,0.147765,0.068235,0.021705,-2.073558879,-1.692466323,-1.912132105,-2.684797649,-3.83021263,-0.48226265,-0.590853706,-0.522976419,-0.372467549,-0.261082111,7.953076847,5.432863391,6.767502453,14.65523558,46.07233356,0.683114661,0.85092884,1.842712684,5.793020041,1.46388309,1.245660339,2.697515938,8.480304077,1.1751864,0.802787059,2.165530886,6.807878369,0.542678199,0.370711433,0.46178053,3.143745681,0.172621533,0.1179203,0.146888641,0.318091888,-0.188273174,-0.080538569,0.296446661,0.705580141,0.109393364,0.459096314,0.789036303,0.368194444,0.743848469,0.517344897
31.8,0.1034625,0.1531275,0.1260675,0.052945,0.0042425,-2.268546051,-1.876484371,-2.070937801,-2.93850164,-5.462602561,-0.440810977,-0.532911446,-0.482873025,-0.340309492,-0.183062924,9.665337683,6.530505624,7.932258512,18.88752479,235.7100766,0.675662438,0.820691296,1.954150534,24.3871538,1.480028996,1.214646915,2.892199452,36.09369476,1.218484958,0.823284518,2.381103031,29.71538008,0.511731304,0.34575762,0.419973427,12.47967001,0.041005195,0.02770567,0.033652607,0.080130324,-0.193557816,-0.098483858,0.32298643,0.921219999,0.096921506,0.486151718,0.946082481,0.408477062,0.934886041,0.851628415
50.8,0.1315125,0.19094,0.15992,0.06796,0.0094125,-2.028653375,-1.655796036,-1.833081589,-2.688835982,-4.665716686,-0.492937834,-0.603939119,-0.545529455,-0.371908144,-0.214329345,7.603839939,5.237247303,6.253126563,14.71453796,106.2416999,0.688763486,0.822364307,1.935145674,13.97211155,1.451877198,1.193971986,2.809593879,20.28579017,1.216006083,0.837540589,2.353148911,16.99017264,0.516756962,0.355923327,0.424962481,7.220185923,0.071571143,0.04929559,0.058857554,0.138500589,-0.184298463,-0.097475402,0.318602815,0.866418308,0.088411332,0.475009656,0.906040603,0.403545726,0.888828193,0.756696501
147.6,0.0772,0.1327775,0.0963675,0.09018,0.0172775,-2.561355822,-2.019080484,-2.339586271,-2.405947606,-4.058350202,-0.390418227,-0.495274957,-0.427425999,-0.415636649,-0.246405547,12.95336788,7.531396509,10.37694243,11.08893324,57.87874403,0.581423811,0.801099956,0.856065646,4.468239039,1.719915803,1.377824474,1.472360834,7.684994936,1.248283679,0.725781853,1.068612774,5.577629865,1.168134715,0.679181337,0.935792669,5.219505137,0.223801813,0.130123703,0.179287623,0.191589044,-0.264683121,-0.110432541,-0.077548094,0.634251541,0.158895023,0.191056592,0.76971777,0.033168496,0.695939109,0.678431008
36.9,0.10338,0.1564,0.1263425,0.08281,0.009825,-2.269343759,-1.855338451,-2.068758806,-2.491206452,-4.622825121,-0.440656025,-0.538985218,-0.483381628,-0.401411934,-0.216317938,9.67305088,6.393861893,7.914992975,12.07583625,101.7811705,0.660997442,0.818251974,1.248399952,10.5221374,1.512865158,1.237904901,1.88866079,15.91857506,1.222117431,0.807816496,1.525691342,12.85928753,0.801025343,0.529475703,0.655440568,8.428498728,0.095037725,0.062819693,0.077764806,0.118645091,-0.204095773,-0.099957557,0.110478543,0.826421094,0.106306975,0.307637641,0.881786735,0.208137603,0.855692438,0.787877152
10.4,0.1073125,0.156785,0.123015,0.0519825,-0.00079,-2.23201014,-1.852879839,-2.09544898,-2.956848156,-4.605170186,-0.448026638,-0.539700405,-0.477224695,-0.338197955,-0.217147241,9.318578917,6.378161176,8.129089948,19.2372433,-1265.822785,0.684456421,0.872352965,2.064396672,-135.8386076,1.461013395,1.274519368,3.016111191,-198.4620253,1.146324985,0.784609497,2.366469485,-155.7151899,0.484403029,0.331552763,0.422570418,-65.80063291,-0.007361677,-0.005038747,-0.006421981,-0.015197422,-0.18732665,-0.068174664,0.34734298,1.014832547,0.120693352,0.50200582,1.01012853,0.405905799,1.012926979,1.030863896
7.6,0.11966,0.176695,0.1512575,0.0724425,0.00185,-2.123100891,-1.733330197,-1.888771597,-2.624962135,-6.29256964,-0.471009175,-0.576924121,-0.529444641,-0.380957876,-0.15891759,8.357011533,5.659469708,6.611242418,13.80405149,540.5405405,0.677212145,0.791101268,1.651792801,64.68108108,1.476642153,1.168173479,2.439106878,95.51081081,1.264060672,0.856037239,2.087966318,81.76081081,0.605402808,0.409986134,0.478934929,39.15810811,0.015460471,0.010470019,0.012230798,0.025537495,-0.192454995,-0.116631447,0.245793261,0.969549831,0.077564586,0.418453665,0.979276933,0.352324542,0.975833973,0.950196857
32.2,0.0902625,0.1452625,0.1084675,0.04629,0.004105,-2.405033187,-1.929212828,-2.22130469,-3.072829324,-5.495549536,-0.415794678,-0.518346128,-0.450185877,-0.325432979,-0.181965424,11.07879795,6.884089149,9.219351419,21.602938,243.6053593,0.621375097,0.832161707,1.949935191,21.98842875,1.609333887,1.339226035,3.138096781,35.38672351,1.201689517,0.74669994,2.343216677,26.42326431,0.512837557,0.318664487,0.426763777,11.27649208,0.045478466,0.028259186,0.037845438,0.08868006,-0.233520858,-0.091606703,0.322019004,0.912999709,0.145016356,0.516686026,0.945034897,0.401773743,0.927069222,0.837087013
13.3,0.10855,0.16872,0.133575,0.0557775,0.0046825,-2.220544383,-1.779514743,-2.013092161,-2.886384717,-5.363923124,-0.450340019,-0.56195095,-0.496748246,-0.346454163,-0.186430711,9.212344542,5.926979611,7.486430844,17.92837614,213.5611319,0.643373637,0.812652068,1.94612523,23.18206086,1.554306771,1.263110612,3.024875622,36.03203417,1.230538922,0.791696302,2.394782843,28.52642819,0.513841548,0.330592105,0.417574396,11.91190603,0.043136803,0.027753082,0.035055212,0.083949621,-0.217008692,-0.103355705,0.321142231,0.917294063,0.116260606,0.503090235,0.945992705,0.410860696,0.932264072,0.845104201
38.9,0.074175,0.116525,0.115425,0.0841025,0.0125475,-2.601328113,-2.149649437,-2.159134311,-2.475718986,-4.378233836,-0.384419019,-0.46519213,-0.463148585,-0.403923065,-0.228402602,13.48163128,8.581849389,8.663634395,11.89025297,79.69715083,0.636558678,0.642625081,0.881959514,5.911536163,1.570947085,1.009529998,1.385511727,9.2867105,1.55611729,0.990559966,1.372432449,9.199043634,1.133838895,0.721754988,0.728633312,6.702729627,0.169160768,0.107680755,0.108706953,0.149192949,-0.22207656,-0.217563291,-0.062722118,0.71062873,0.004742401,0.161605463,0.805574386,0.156983373,0.803903182,0.740351785
85.8,0.0885025,0.1369575,0.108825,0.05597,0.0048475,-2.424724479,-1.98808462,-2.218014192,-2.882939446,-5.329292171,-0.412417992,-0.502996698,-0.450853743,-0.346868194,-0.18764218,11.29911584,7.301535148,9.189065013,17.86671431,206.291903,0.646204114,0.813255226,1.581248883,18.25734915,1.547498658,1.258511371,2.446980525,28.25322331,1.229626282,0.794589562,1.944345185,22.44971635,0.632411514,0.408666922,0.514311969,11.54615781,0.054772464,0.035394192,0.044543993,0.086608898,-0.214916171,-0.102988686,0.225181263,0.896143546,0.114460956,0.419782042,0.931631466,0.320731818,0.914711122,0.840588646
25.1,0.1087425,0.170315,0.14133,0.079895,0.00658,-2.218772577,-1.770105615,-1.956657698,-2.527042006,-5.023720534,-0.450699639,-0.564938042,-0.511075597,-0.395719579,-0.199055659,9.196036508,5.871473446,7.075638576,12.51642781,151.9756839,0.638478701,0.769422628,1.361067651,16.52621581,1.566222958,1.205087384,2.131735403,25.8837386,1.29967584,0.829815342,1.768946743,21.4787234,0.734717337,0.469101371,0.565308144,12.14209726,0.06050992,0.038634295,0.046557702,0.082358095,-0.220644491,-0.130312209,0.152925585,0.885885235,0.093006466,0.361376444,0.925605585,0.277703695,0.911026976,0.847817288
24.7,0.1136925,0.1729825,0.1406975,0.0595725,0.0073225,-2.174257843,-1.754564846,-1.961143083,-2.820561221,-4.916803479,-0.459927052,-0.569941888,-0.509906701,-0.354539371,-0.203384171,8.795654946,5.780931597,7.107446827,16.78626883,136.5653807,0.657248566,0.808063398,1.908472869,15.52645954,1.521494382,1.229463921,2.903730748,23.62342096,1.237526662,0.813362623,2.361786059,19.21440765,0.523979154,0.344384548,0.423408376,8.13554114,0.064406183,0.042330872,0.052044279,0.122917454,-0.206819569,-0.106155902,0.312353909,0.878981944,0.102923361,0.487669584,0.918776518,0.405078145,0.901060667,0.781074819
37.9,0.1245,0.1823875,0.1666575,0.0843775,0.006745,-2.083449563,-1.701621734,-1.791814471,-2.472454501,-4.998953789,-0.479973222,-0.587674675,-0.558093495,-0.404456381,-0.200041857,8.032128514,5.482831883,6.000330018,11.8515007,148.2579689,0.682612569,0.747041087,1.475511837,18.45811712,1.464959839,1.094385191,2.161565583,27.0404003,1.338614458,0.913755054,1.975141477,24.70830245,0.677730924,0.462627647,0.506292846,12.50963677,0.054176707,0.036981701,0.040472226,0.079938372,-0.188627754,-0.144792767,0.192086271,0.897215132,0.045065822,0.367402021,0.928674342,0.327763061,0.92220412,0.85195753
25.1,0.1267825,0.18137,0.1658875,0.0804725,0.004325,-2.065282259,-1.707216135,-1.796445431,-2.519839768,-5.443343139,-0.484195318,-0.585748916,-0.556654815,-0.39685063,-0.18371063,7.887523909,5.513591002,6.02818175,12.42660536,231.2138728,0.699026851,0.764267953,1.575476094,29.31387283,1.430560211,1.093331324,2.253813415,41.93526012,1.308441622,0.914635827,2.061418497,38.35549133,0.634728768,0.443692452,0.485102856,18.60635838,0.034113541,0.023846281,0.026071886,0.053745068,-0.177144433,-0.133614651,0.223444549,0.934023607,0.04458507,0.385336605,0.95341824,0.346708069,0.949181171,0.897992276
10.4,0.1251875,0.1807375,0.158325,0.076595,0.004655,-2.077942666,-1.710709577,-1.843105397,-2.569223479,-5.369813368,-0.481245232,-0.584552757,-0.54256257,-0.389222661,-0.186226211,7.988017973,5.532886092,6.316121901,13.05568249,214.8227712,0.692648178,0.790699511,1.634408251,26.89312567,1.443734398,1.141560082,2.359651413,38.82653061,1.264702946,0.87599419,2.06704093,34.01181525,0.611842237,0.42379141,0.483783357,16.45435016,0.037184224,0.025755585,0.029401547,0.060774202,-0.181580453,-0.116881972,0.240816225,0.928297745,0.066101382,0.404700145,0.949782219,0.34790567,0.942876427,0.885415385
77.3,0.0717825,0.1212275,0.0981825,0.0558325,0.0019325,-2.634114565,-2.110086333,-2.320927287,-2.885399142,-6.248940778,-0.379634209,-0.473914258,-0.43086227,-0.346572502,-0.160027121,13.93097203,8.248953414,10.18511446,17.91071509,517.4644243,0.592130498,0.731112978,1.285675906,37.14489004,1.688816912,1.234715963,2.171271213,62.7309185,1.367777662,0.809902869,1.758518784,50.80595084,0.777800996,0.460559691,0.568660403,28.89133247,0.026921603,0.015941102,0.019682734,0.034612457,-0.256178436,-0.155326097,0.124985307,0.947568338,0.105031676,0.369338077,0.968618058,0.274973217,0.961394396,0.933090972
66.4,0.0870175,0.14969,0.1155625,0.07544,0.0064975,-2.441646031,-1.89918879,-2.15794377,-2.584417641,-5.036337791,-0.409559775,-0.526540597,-0.463404104,-0.386934366,-0.198556976,11.49194128,6.680472977,8.653326122,13.25556734,153.9053482,0.581318057,0.752990806,1.153466331,13.39245864,1.72022869,1.295316387,1.984225875,23.03809157,1.328037464,0.772012158,1.531846501,17.7856868,0.86695205,0.503974881,0.652806923,11.61061947,0.074668888,0.043406373,0.056224986,0.086128049,-0.264767699,-0.140907296,0.071264792,0.861038336,0.128660427,0.329809443,0.916798719,0.210062696,0.893535966,0.841403509
15.6,0.0916925,0.141165,0.1047,0.04596,0.00394,-2.389314692,-1.95782586,-2.256656161,-3.079983826,-5.536574556,-0.418530051,-0.510770657,-0.443133525,-0.32467703,-0.180617093,10.9060174,7.083908901,9.551098376,21.75805048,253.8071066,0.649541317,0.875764088,1.995050044,23.27220812,1.539547946,1.348280802,3.071475196,35.8286802,1.141860021,0.741685262,2.278067885,26.57360406,0.501240559,0.325576453,0.438968481,11.66497462,0.042969709,0.027910601,0.037631328,0.085726719,-0.212458263,-0.066232163,0.332231525,0.917601234,0.148313099,0.508777555,0.945694497,0.389884508,0.927466863,0.842084168
21.8,0.102555,0.1619825,0.1338775,0.071095,0.0035825,-2.277356039,-1.820266974,-2.010830076,-2.643738268,-5.631694398,-0.439105692,-0.549369963,-0.497307063,-0.37825227,-0.177566453,9.750865389,6.173506397,7.469515042,14.06568676,279.1346825,0.633123949,0.766036115,1.442506505,28.62665736,1.579469553,1.20993072,2.278395105,45.21493371,1.305421481,0.826493603,1.883078979,37.36985345,0.693237775,0.438905437,0.531045172,19.84508025,0.034932475,0.022116587,0.026759538,0.050390323,-0.224646789,-0.132479672,0.181169018,0.932493228,0.094994254,0.389945404,0.956723945,0.306297186,0.947875746,0.904054099
29.4,0.102555,0.1619825,0.1338775,0.071095,0.0035825,-2.277356039,-1.820266974,-2.010830076,-2.643738268,-5.631694398,-0.439105692,-0.549369963,-0.497307063,-0.37825227,-0.177566453,9.750865389,6.173506397,7.469515042,14.06568676,279.1346825,0.633123949,0.766036115,1.442506505,28.62665736,1.579469553,1.20993072,2.278395105,45.21493371,1.305421481,0.826493603,1.883078979,37.36985345,0.693237775,0.438905437,0.531045172,19.84508025,0.034932475,0.022116587,0.026759538,0.050390323,-0.224646789,-0.132479672,0.181169018,0.932493228,0.094994254,0.389945404,0.956723945,0.306297186,0.947875746,0.904054099
27.5,0.085725,0.15596,0.108055,0.0475275,0.00196,-2.456610781,-1.858155715,-2.225114922,-3.046446788,-6.234810806,-0.407064891,-0.53816803,-0.44941499,-0.328251261,-0.160389791,11.66520852,6.411900487,9.254546296,21.04045027,510.2040816,0.549660169,0.793345981,1.803692599,43.7372449,1.81930592,1.44333904,3.281468623,79.57142857,1.260484106,0.692837907,2.273525853,55.13010204,0.554418198,0.3047416,0.439845449,24.24872449,0.022863809,0.012567325,0.018138911,0.041239283,-0.29060554,-0.11523377,0.286655035,0.95529452,0.181448024,0.532870569,0.975177305,0.38903797,0.964368495,0.920788078
40.3,0.077145,0.134235,0.1001625,0.04728,0.004985,-2.562068511,-2.008163284,-2.300961412,-3.051667906,-5.301321876,-0.390309625,-0.497967475,-0.434600943,-0.327689654,-0.188632198,12.96260289,7.449621932,9.983776363,21.15059222,200.6018054,0.574701084,0.770198428,1.631662437,15.47542628,1.740034999,1.34017222,2.839149746,26.92778335,1.298366712,0.746172757,2.118496193,20.09277834,0.612871865,0.352218125,0.472032946,9.48445336,0.064618575,0.037136365,0.049769125,0.105435702,-0.270082316,-0.129816844,0.240024111,0.878607086,0.145362045,0.479051318,0.928386726,0.358665242,0.905180817,0.809241366
61.6,0.090895,0.1471875,0.09678,0.043595,0.00537,-2.398050285,-1.916047995,-2.335314918,-3.132812814,-5.22692737,-0.417005434,-0.521907595,-0.428207773,-0.319201963,-0.191316988,11.00170526,6.794055202,10.33271337,22.93841037,186.2197393,0.617545648,0.939191982,2.08498681,16.9264432,1.619313494,1.520846249,3.376247276,27.40921788,1.064745035,0.657528662,2.219979355,18.02234637,0.479619341,0.296186837,0.450454639,8.118249534,0.059079157,0.036484076,0.055486671,0.123179264,-0.23644115,-0.0313574,0.351699011,0.888432971,0.206615635,0.542987433,0.929600315,0.378878005,0.894860499,0.780659655
30.8,0.0978525,0.151395,0.10789,0.0475275,0.0051225,-2.324294036,-1.887862964,-2.226643089,-3.046446788,-5.274112678,-0.430238165,-0.529699464,-0.449106552,-0.328251261,-0.189605354,10.21946297,6.605237954,9.268699601,21.04045027,195.2171791,0.646339047,0.906965428,2.05886066,19.10248902,1.547175596,1.403234776,3.185418968,29.55490483,1.10257786,0.712639123,2.270054179,21.06198145,0.485705526,0.313930447,0.44051812,9.27818448,0.052349199,0.033835331,0.047478914,0.107779706,-0.214816598,-0.048786712,0.346161783,0.900509832,0.167788341,0.522150586,0.934544061,0.388389338,0.909346311,0.805413105
59.3,0.0902625,0.14716,0.11141,0.05113,-0.0016425,-2.405033187,-1.916234849,-2.194538189,-2.97338387,-4.605170186,-0.415794678,-0.521856703,-0.455676736,-0.336317154,-0.217147241,11.07879795,6.795324817,8.97585495,19.55798944,-608.8280061,0.613363006,0.810183107,1.765353022,-54.9543379,1.630355906,1.320886814,2.878153726,-89.59512938,1.23428888,0.757067138,2.178955603,-67.82952816,0.566458939,0.347444958,0.458935464,-31.12937595,-0.018196926,-0.011161321,-0.014742842,-0.032123998,-0.239646622,-0.104860603,0.276765034,1.037068382,0.138260432,0.484290685,1.022574604,0.370862557,1.029926891,1.066380399
29.6,0.0810775,0.1252975,0.1155625,0.07005,0.004985,-2.512349792,-2.077064369,-2.15794377,-2.658546006,-5.301321876,-0.398033746,-0.481448729,-0.463404104,-0.376145456,-0.188632198,12.33387808,7.981005208,8.653326122,14.27551749,200.6018054,0.64707995,0.701590049,1.157423269,16.26429288,1.545404089,1.08424013,1.788686652,25.13490471,1.425333786,0.922304914,1.64971449,23.18204614,0.863988159,0.559069415,0.606165495,14.05215647,0.061484382,0.039785311,0.043136831,0.071163455,-0.214270139,-0.175371237,0.072968189,0.884153958,0.04041767,0.282816519,0.923473989,0.245201697,0.917294013,0.867128673
63.5,0.1351975,0.199905,0.17565,0.09029,0.0173325,-2.001018607,-1.609913025,-1.7392619,-2.404728567,-4.055171927,-0.499745478,-0.621151568,-0.574956538,-0.415847349,-0.246598669,7.396586475,5.002376129,5.693139767,11.07542363,57.69508149,0.676308747,0.769698264,1.497369587,7.80023078,1.478614619,1.138087105,2.214032562,11.53353527,1.299210414,0.878667367,1.945398161,10.13414106,0.667837793,0.451664541,0.51403359,5.209288908,0.128201335,0.086703684,0.098676345,0.19196478,-0.193097634,-0.13013616,0.199157381,0.772733233,0.064584415,0.377728769,0.840428103,0.320974656,0.820372314,0.677901926
30.3,0.143145,0.2010325,0.16828,0.0701325,0.00867,-1.943897176,-1.604288692,-1.78212602,-2.657368969,-4.747886488,-0.514430502,-0.623329208,-0.561127546,-0.376312063,-0.210620031,6.985923364,4.974320073,5.942476824,14.25872456,115.3402537,0.712049047,0.850635845,2.041065127,16.51038062,1.404397639,1.194630972,2.866467045,23.18713956,1.175591184,0.837078582,2.399458168,19.4094579,0.48994027,0.348861502,0.416760756,8.089100346,0.060567956,0.043127355,0.051521274,0.123623142,-0.168190832,-0.080709641,0.342335689,0.885782037,0.088685057,0.482731916,0.917311429,0.411670948,0.902006216,0.77995622
82.5,0.11823,0.183405,0.154475,0.0716725,0.0070475,-2.135123399,-1.696058457,-1.867723008,-2.635648147,-4.955082335,-0.468357005,-0.589602319,-0.535411298,-0.379413315,-0.201812994,8.458090163,5.452414056,6.473539408,13.95235272,141.8942888,0.644638914,0.765366564,1.649586662,16.77616176,1.551256026,1.187279495,2.55893125,26.02412203,1.306563478,0.842261661,2.155289686,21.91912026,0.606212467,0.390788146,0.463974753,10.16991841,0.05960839,0.038425888,0.045622269,0.098329206,-0.216072405,-0.132909188,0.245165282,0.887489773,0.085622114,0.438033539,0.925992045,0.366143778,0.912736616,0.820947663
71.1,0.1226575,0.1802425,0.1514775,0.06752,0.0017675,-2.098359361,-1.713452113,-1.88731818,-2.695331429,-6.33818916,-0.476562794,-0.583617127,-0.529852364,-0.371011887,-0.15777377,8.152783156,5.548081057,6.601640508,14.81042654,565.7708628,0.680513752,0.809740721,1.816609893,69.3960396,1.469478018,1.189896189,2.669468306,101.9759547,1.234963211,0.840409448,2.243446386,85.70155587,0.550475919,0.374606433,0.445742767,38.20084866,0.014410044,0.009806233,0.0116684,0.026177429,-0.190112248,-0.105130684,0.289926516,0.971589311,0.086714699,0.454961909,0.98057799,0.383371956,0.976932363,0.948980696
