system:index,Characteristic Name,Latitude,Longitude,NIR,Result Unit,Result Value,SWIR1,SWIR2,SurfTempK,blue,coicidence_tolerance,collection_time,green,pixel_merging,red,﻿Activity Start Date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000004_0,"Chlorophyll a, uncorrected for pheophytin",40.26855466240476,-111.83715368515021,0.06796000000000002,ug/l,50.8,0.011227500000000001,0.01086999999999999,296.5559234,0.1303025,2,616118400000,0.1866775,true,0.15915,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.83715368515021,40.26855466240476]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000005_0,"Chlorophyll a, uncorrected for pheophytin",40.321106106525754,-111.76762408215936,0.08842,ug/l,147.6,0.0172775,0.013647500000000007,299.06133206,0.08432250000000002,2,616118400000,0.140395,true,0.10766999999999999,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.76762408215936,40.321106106525754]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000002_0,"Chlorophyll a, uncorrected for pheophytin",40.169919644208434,-111.87191848664564,0.06820749999999998,ug/l,66.7,0.018680000000000002,0.0143625,295.56811561999996,0.127305,2,616118400000,0.187475,true,0.146995,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.87191848664564,40.169919644208434]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000003_0,"Chlorophyll a, uncorrected for pheophytin",40.23702379593217,-111.76439014713654,0.049287499999999984,ug/l,31.8,0.0066900000000000015,0.0064700000000000035,297.22927333999996,0.1046725,2,616118400000,0.15747250000000002,true,0.1268375,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.76439014713654,40.23702379593217]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000006_0,"Chlorophyll a, uncorrected for pheophytin",40.08502884985914,-111.88404574298126,0.08281,ug/l,36.9,0.009220000000000006,0.010154999999999997,297.75906643999997,0.10340749999999999,2,616118400000,0.15639999999999998,true,0.127855,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.88404574298126,40.08502884985914]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000_0,"Chlorophyll a, uncorrected for pheophytin",40.18851477058971,-111.73124231315252,0.0802525,ug/l,47.6,0.018927499999999986,0.017689999999999984,296.10474476,0.11201499999999998,2,616118400000,0.15994750000000002,true,0.1483425,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.73124231315252,40.18851477058971]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000001_0,"Chlorophyll a, uncorrected for pheophytin",40.26855466240476,-111.82987733134885,0.0652375,ug/l,82.5,0.010622500000000007,0.0074325000000000085,297.24978146,0.1250775,2,616118400000,0.18238749999999998,true,0.14925,07-11-1989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.82987733134885,40.26855466240476]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000007b3_0,"Chlorophyll a, corrected for pheophytin",40.34212668417415,-111.80077191614338,0.048242499999999994,ug/l,25.8,0.019229999999999997,0.017057500000000003,292.07148115999996,0.10943000000000003,2,1618185600000,0.16806,true,0.1428975,04-12-2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.80077191614338,40.34212668417415]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000007b4_0,"Chlorophyll a, uncorrected for pheophytin",40.34212668417415,-111.80077191614338,0.048242499999999994,ug/l,34.0,0.019229999999999997,0.017057500000000003,292.07148115999996,0.10943000000000003,2,1618185600000,0.16806,true,0.1428975,04-12-2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.80077191614338,40.34212668417415]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000007c1_0,"Chlorophyll a, corrected for pheophytin",40.18932325434542,-111.69971144667993,0.0033350000000000046,ug/l,64.5,6.249999999999312E-5,0.0014099999999999946,285.07821223999997,0.01551749999999999,2,1618185600000,0.06416499999999997,true,0.04367750000000001,04-12-2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.69971144667993,40.18932325434542]}"
