Result Value,blue,green,red,NIR,SWIR1,SWIR2,SurfTempK,log(blue),log(green),log(red),log(NIR),log(SWIR1),log(SWIR2),log(SurfTempK),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/log(SWIR2),1/log(SurfTempK),1/blue,1/green,1/red,1/NIR,1/SWIR1,1/SWIR2,1/SurfTempK,blue/green,blue/red,blue/NIR,blue/SWIR1,blue/SWIR2,blue/SurfTempK,green/blue,green/red,green/NIR,green/SWIR1,green/SWIR2,green/SurfTempK,red/blue,red/green,red/NIR,red/SWIR1,red/SWIR2,red/SurfTempK,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,NIR/SWIR2,NIR/SurfTempK,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,SWIR1/SWIR2,SWIR1/SurfTempK,SWIR2/blue,SWIR2/green,SWIR2/red,SWIR2/NIR,SWIR2/SWIR1,SWIR2/SurfTempK,SurfTempK/blue,SurfTempK/green,SurfTempK/red,SurfTempK/NIR,SurfTempK/SWIR1,SurfTempK/SWIR2,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(blue,SWIR2)","ND(blue,SurfTempK)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(green,SWIR2)","ND(green,SurfTempK)","ND(red,NIR)","ND(red,SWIR1)","ND(red,SWIR2)","ND(red,SurfTempK)","ND(NIR,SWIR1)","ND(NIR,SWIR2)","ND(NIR,SurfTempK)","ND(SWIR1,SWIR2)","ND(SWIR1,SurfTempK)","ND(SWIR2,SurfTempK)"
50.8,0.1303025,0.1866775,0.15915,0.06796,0.0112275,0.01087,296.5559234,-2.037896609,-1.67837275,-1.837908125,-2.688835982,-4.489389153,-4.521748578,5.692235812,-0.490702029,-0.595815203,-0.544096838,-0.371908144,-0.222747453,-0.221153384,0.175677894,7.674449838,5.35683197,6.283380459,14.71453796,89.06702293,91.99632015,0.003372045,0.698008598,0.818740182,1.917341083,11.60565576,11.98735051,0.000439386,1.43264711,1.172965756,2.746873161,16.62680917,17.17364305,0.000629485,1.221388692,0.852539808,2.341818717,14.1750167,14.64121435,0.000536661,0.521555611,0.364050301,0.427018536,6.052994879,6.252069917,0.000229164,0.086164886,0.060143831,0.070546654,0.165207475,1.032888684,3.79E-05,0.08342127,0.058228764,0.068300346,0.159947028,0.968158539,3.67E-05,2275.903558,1588.600251,1863.373694,4363.683393,26413.35323,27282.05367,-0.177850338,-0.099662293,0.314444234,0.841341058,0.846004002,-0.999121614,0.079598933,0.46622159,0.88653647,0.889950518,-0.998741822,0.401523491,0.868204428,0.87213269,-0.998927254,0.716432518,0.724216669,-0.999541777,0.016178301,-0.999924284,-0.999926694
147.6,0.0843225,0.140395,0.10767,0.08842,0.0172775,0.0136475,299.0613321,-2.473106546,-1.963295401,-2.228684285,-2.425657091,-4.058350202,-4.294198924,5.700648676,-0.404349745,-0.509347702,-0.448695226,-0.412259426,-0.246405547,-0.232872305,0.175418633,11.85923093,7.122760782,9.287638154,11.30965845,57.87874403,73.27349331,0.003343796,0.600608996,0.783156868,0.953658675,4.880480394,6.17860414,0.000281957,1.664976726,1.303937959,1.587819498,8.125886268,10.28723209,0.000469452,1.276883394,0.766907653,1.217710925,6.23180437,7.889357025,0.000360026,1.048593199,0.629794508,0.821212966,5.117638547,6.478842279,0.000295658,0.204897862,0.123063499,0.160467168,0.195402624,1.265982781,5.78E-05,0.161848854,0.097207878,0.126753042,0.154348564,0.789900159,4.56E-05,3546.637399,2130.142327,2777.573438,3382.281521,17309.29429,21913.26852,-0.249524403,-0.121606313,-0.023720277,0.659891732,0.721394304,-0.999436245,0.131921069,0.22714857,0.780843203,0.82280864,-0.999061536,0.098169208,0.723443846,0.775011849,-0.999280206,0.673076468,0.732578931,-0.999408858,0.11738076,-0.999884462,-0.999908735
66.7,0.127305,0.187475,0.146995,0.0682075,0.01868,0.0143625,295.5681156,-2.061169497,-1.674109776,-1.917356706,-2.68520075,-3.980301846,-4.243134636,5.68889932,-0.485161459,-0.597332394,-0.521551361,-0.372411634,-0.251237227,-0.235674822,0.175780928,7.855151015,5.334044539,6.802952481,14.6611443,53.53319058,69.62576153,0.003383315,0.67905054,0.866049866,1.866436975,6.815042827,8.863707572,0.000430713,1.472644437,1.275383516,2.748598028,10.0361349,13.05308964,0.000634287,1.154667923,0.784077877,2.155114907,7.869111349,10.23463882,0.00049733,0.535780213,0.363821843,0.464012381,3.651365096,4.74899913,0.000230767,0.146734221,0.099639952,0.127079152,0.273870176,1.300609225,6.32E-05,0.112819606,0.076610215,0.097707405,0.210570685,0.76887045,4.86E-05,2321.732183,1576.573493,2010.735846,4333.366794,15822.70426,20579.15513,-0.191149374,-0.07178272,0.302269676,0.744083296,0.797236487,-0.999138945,0.121027297,0.466467201,0.818777134,0.857682542,-0.99873223,0.366108665,0.774498265,0.821979146,-0.999005834,0.570018702,0.652113358,-0.999538572,0.130665053,-0.999873607,-0.999902819
31.8,0.1046725,0.1574725,0.1268375,0.0492875,0.00669,0.00647,297.2292733,-2.256918851,-1.848504439,-2.064848539,-3.01008478,-5.007141405,-5.04057917,5.694503805,-0.443081948,-0.540977873,-0.484297023,-0.332216556,-0.199714751,-0.1983899,0.175607926,9.553607681,6.350315134,7.884103676,20.28911996,149.4768311,154.5595054,0.003364406,0.664703361,0.825248842,2.123712909,15.6461136,16.17812983,0.000352161,1.504430486,1.241529516,3.194978443,23.53849028,24.33887172,0.000529801,1.211755714,0.805458096,2.573421253,18.95926756,19.60394127,0.000426733,0.470873439,0.312991157,0.38858776,7.367339312,7.617851623,0.000165823,0.063913635,0.042483608,0.052744654,0.135734213,1.034003091,2.25E-05,0.061811842,0.041086539,0.051010151,0.131270606,0.967115097,2.18E-05,2839.611869,1887.499553,2343.386407,6030.520382,44428.88989,45939.60948,-0.201415247,-0.095741005,0.359736295,0.879851835,0.883572891,-0.999295926,0.107752102,0.523239505,0.918495393,0.921069887,-0.998940958,0.440312278,0.899795922,0.902931193,-0.999146898,0.760975392,0.767923598,-0.999668409,0.016717325,-0.999954985,-0.999956466
36.9,0.1034075,0.1564,0.127855,0.08281,0.00922,0.010155,297.7590664,-2.269077786,-1.855338451,-2.05685847,-2.491206452,-4.686380241,-4.589789084,5.696284658,-0.440707677,-0.538985218,-0.486178322,-0.401411934,-0.213384307,-0.217874935,0.175553024,9.670478447,6.393861893,7.821360135,12.07583625,108.4598698,98.4736583,0.00335842,0.661173274,0.808787298,1.248732037,11.21556399,10.18291482,0.000347286,1.512462829,1.223260725,1.88866079,16.96312364,15.40128016,0.000525257,1.236419022,0.817487212,1.543956044,13.86713666,12.59034958,0.000429391,0.80081232,0.529475703,0.647686833,8.981561822,8.154603644,0.000278111,0.089161811,0.058951407,0.07211294,0.11133921,0.907927129,3.10E-05,0.098203709,0.064929668,0.079425912,0.122630117,1.101409978,3.41E-05,2879.472634,1903.830348,2328.880892,3595.689729,32294.90959,29321.42456,-0.203968323,-0.105713205,0.110609905,0.836274445,0.821155751,-0.99930567,0.100420397,0.307637641,0.88866079,0.878058299,-0.998950038,0.213822894,0.865475105,0.852836751,-0.999141587,0.799630555,0.781530684,-0.999443933,-0.048258065,-0.999938073,-0.999931793
47.6,0.112015,0.1599475,0.1483425,0.0802525,0.0189275,0.01769,296.1047448,-2.189122488,-1.832909643,-1.90823149,-2.522577365,-3.967139388,-4.034755771,5.690713259,-0.456804042,-0.545580631,-0.524045434,-0.396419953,-0.2520708,-0.247846476,0.175724897,8.927375798,6.252051454,6.741156445,12.46067101,52.83317924,56.52911249,0.003377183,0.700323544,0.755110639,1.395782063,5.918108572,6.332108536,0.000378295,1.42791144,1.078231121,1.993053176,8.450534936,9.04169022,0.000540172,1.324309244,0.927444943,1.848447089,7.837405891,8.38566987,0.00050098,0.716444226,0.501742759,0.540994658,4.239994717,4.5366026,0.000271027,0.168972905,0.118335704,0.127593239,0.23584935,1.069954777,6.39E-05,0.157925278,0.11059879,0.119251058,0.22042927,0.934618941,5.97E-05,2643.438332,1851.2621,1996.088409,3689.663808,15644.15505,16738.53843,-0.176246725,-0.139529301,0.165199527,0.710903641,0.727227169,-0.999243696,0.037643128,0.331786012,0.788371768,0.800830343,-0.998920239,0.297863033,0.773689245,0.786909189,-0.998998542,0.618320226,0.638767644,-0.999458092,0.033795316,-0.999872165,-0.999880522
82.5,0.1250775,0.1823875,0.14925,0.0652375,0.0106225,0.0074325,297.2497815,-2.078821734,-1.701621734,-1.902132527,-2.729720822,-4.544780886,-4.901893003,5.6945728,-0.481041728,-0.587674675,-0.525725724,-0.366337829,-0.22003261,-0.204002821,0.175605798,7.995043073,5.482831883,6.700167504,15.32860701,94.1397976,134.5442314,0.003364174,0.685778905,0.838040201,1.917263844,11.77477053,16.8284561,0.000420782,1.458195919,1.222026801,2.795746312,17.16992233,24.53918601,0.000613583,1.193260179,0.818312658,2.287794597,14.05036479,20.08072654,0.000502103,0.521576622,0.357686245,0.437102178,6.141445046,8.777329297,0.00021947,0.084927345,0.058241382,0.071172529,0.162828128,1.429196098,3.57E-05,0.059423158,0.040751148,0.049798995,0.113929872,0.699694046,2.50E-05,2376.524806,1629.770579,1991.623326,4556.425085,27983.03426,39993.24339,-0.186395199,-0.088115482,0.314426083,0.843441415,0.887819787,-0.999158789,0.099920847,0.473094397,0.889927983,0.921688968,-0.998773586,0.391689492,0.867112856,0.90512661,-0.998996298,0.719944635,0.795445163,-0.999561156,0.176682359,-0.999928531,-0.999949993
25.8,0.10943,0.16806,0.1428975,0.0482425,0.01923,0.0170575,292.0714812,-2.212470204,-1.78343422,-1.945627689,-3.031514904,-3.951283719,-4.071165289,5.676998571,-0.451983488,-0.560715943,-0.513972949,-0.32986808,-0.253082307,-0.245629919,0.176149419,9.138261903,5.950255861,6.998023058,20.72861066,52.00208008,58.62523817,0.003423819,0.651136499,0.765793663,2.268331865,5.690587624,6.415359812,0.000374669,1.535776295,1.176087755,3.483650308,8.739469579,9.852557526,0.000575407,1.30583478,0.850276687,2.962066642,7.430967239,8.377399971,0.000489255,0.4408526,0.287055218,0.337602127,2.508710348,2.828228052,0.000165174,0.175728776,0.11442342,0.134571983,0.398611183,1.12736333,6.58E-05,0.155875902,0.101496489,0.119368778,0.353578276,0.887025481,5.84E-05,2669.025689,1737.900043,2043.92296,6054.236019,15188.32455,17122.76014,-0.211286893,-0.132635167,0.388067038,0.701072594,0.730289554,-0.999250944,0.080919418,0.553934883,0.794650008,0.815711643,-0.998849848,0.495212933,0.762779294,0.786721265,-0.999021968,0.429989996,0.477565084,-0.999669707,0.059869101,-0.999868329,-0.999883203
34,0.10943,0.16806,0.1428975,0.0482425,0.01923,0.0170575,292.0714812,-2.212470204,-1.78343422,-1.945627689,-3.031514904,-3.951283719,-4.071165289,5.676998571,-0.451983488,-0.560715943,-0.513972949,-0.32986808,-0.253082307,-0.245629919,0.176149419,9.138261903,5.950255861,6.998023058,20.72861066,52.00208008,58.62523817,0.003423819,0.651136499,0.765793663,2.268331865,5.690587624,6.415359812,0.000374669,1.535776295,1.176087755,3.483650308,8.739469579,9.852557526,0.000575407,1.30583478,0.850276687,2.962066642,7.430967239,8.377399971,0.000489255,0.4408526,0.287055218,0.337602127,2.508710348,2.828228052,0.000165174,0.175728776,0.11442342,0.134571983,0.398611183,1.12736333,6.58E-05,0.155875902,0.101496489,0.119368778,0.353578276,0.887025481,5.84E-05,2669.025689,1737.900043,2043.92296,6054.236019,15188.32455,17122.76014,-0.211286893,-0.132635167,0.388067038,0.701072594,0.730289554,-0.999250944,0.080919418,0.553934883,0.794650008,0.815711643,-0.998849848,0.495212933,0.762779294,0.786721265,-0.999021968,0.429989996,0.477565084,-0.999669707,0.059869101,-0.999868329,-0.999883203
64.5,0.0155175,0.064165,0.0436775,0.003335,6.25E-05,0.00141,285.0782122,-4.16578686,-2.746297388,-3.130922184,-5.7032826,-9.680344001,-6.564165575,5.652763572,-0.240050688,-0.364126625,-0.319394715,-0.17533762,-0.103302114,-0.152342288,0.176904621,64.44337039,15.58482038,22.89508328,299.850075,16000,709.2198582,0.003507809,0.24183745,0.355274455,4.652923538,248.28,11.00531915,5.44E-05,4.135008861,1.469063019,19.23988006,1026.64,45.5070922,0.000225079,2.81472531,0.680705992,13.09670165,698.84,30.97695035,0.000153212,0.21491864,0.051975376,0.076355103,53.36,2.365248227,1.17E-05,0.004027711,0.000974051,0.001430943,0.01874063,0.044326241,2.19E-07,0.090865152,0.021974597,0.032282067,0.422788606,22.56,4.95E-06,18371.40082,4442.892733,6526.889411,85480.72331,4561251.396,202183.1292,-0.610516738,-0.475715854,0.646200769,0.991976893,0.833407178,-0.999891141,0.189976123,0.901185185,0.998053793,0.956995806,-0.999549944,0.85812284,0.997142204,0.937454949,-0.999693622,0.963208241,0.4056902,-0.999976603,-0.915110357,-0.999999562,-0.999990108
